
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.33.138:64420   125.75.126.222:59642   TIME_WAIT       0
  TCP    192.168.33.138:64427   182.86.43.85:22735     TIME_WAIT       0
  TCP    192.168.33.138:64434   113.90.157.134:42502   TIME_WAIT       0
  TCP    192.168.33.138:64437   115.238.219.102:443    TIME_WAIT       0
  TCP    192.168.33.138:64439   223.11.136.111:51110   TIME_WAIT       0
  TCP    192.168.33.138:64441   223.198.127.141:32750  TIME_WAIT       0
  TCP    192.168.33.138:64446   221.226.74.42:30616    TIME_WAIT       0
  TCP    192.168.33.138:64449   171.107.35.187:13494   TIME_WAIT       0
  TCP    192.168.33.138:64451   116.11.3.172:47622     TIME_WAIT       0
  TCP    192.168.33.138:64453   219.139.77.136:53927   TIME_WAIT       0
  TCP    192.168.33.138:64456   14.218.11.60:12361     TIME_WAIT       0
  TCP    192.168.33.138:64458   113.90.80.45:50291     TIME_WAIT       0
  TCP    192.168.33.138:64460   183.47.30.163:3234     TIME_WAIT       0
  TCP    192.168.33.138:64467   182.47.131.246:31888   TIME_WAIT       0
  TCP    192.168.33.138:64469   123.178.19.250:44047   TIME_WAIT       0
  TCP    192.168.33.138:64477   182.100.11.90:10811    TIME_WAIT       0
  TCP    192.168.33.138:64483   112.39.85.167:13390    TIME_WAIT       0
  TCP    192.168.33.138:64495   139.189.115.126:5446   TIME_WAIT       0
  TCP    192.168.33.138:64498   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64499   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64500   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64501   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64503   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64504   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64506   119.145.208.243:3309   TIME_WAIT       0
  TCP    192.168.33.138:64510   222.168.231.50:45599   TIME_WAIT       0
  TCP    192.168.33.138:64511   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64513   117.148.78.71:4678     TIME_WAIT       0
  TCP    192.168.33.138:64516   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64522   59.37.162.192:27585    TIME_WAIT       0
  TCP    192.168.33.138:64523   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64526   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64530   61.165.100.235:36593   TIME_WAIT       0
  TCP    192.168.33.138:64532   125.75.126.222:59642   TIME_WAIT       0
  TCP    192.168.33.138:64533   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64535   113.90.157.134:42502   TIME_WAIT       0
  TCP    192.168.33.138:64536   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64537   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64539   223.11.136.111:51110   TIME_WAIT       0
  TCP    192.168.33.138:64541   223.198.127.141:32750  TIME_WAIT       0
  TCP    192.168.33.138:64544   115.238.219.99:443     ESTABLISHED     7044
  TCP    192.168.33.138:64545   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64547   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64548   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64550   171.107.35.187:13494   TIME_WAIT       0
  TCP    192.168.33.138:64551   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64553   221.226.74.42:30616    TIME_WAIT       0
