
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.33.138:49336   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:49337   115.227.155.247:16666  ESTABLISHED     7044
  TCP    192.168.33.138:49338   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:49340   124.114.73.51:22098    ESTABLISHED     7044
  TCP    192.168.33.138:49341   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:49342   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:49343   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:49345   121.204.90.19:56769    ESTABLISHED     7044
  TCP    192.168.33.138:49347   119.145.208.243:3309   ESTABLISHED     7044
  TCP    192.168.33.138:49348   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:49349   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:49355   116.11.4.217:53666     ESTABLISHED     7044
  TCP    192.168.33.138:49356   111.25.39.53:27403     ESTABLISHED     7044
  TCP    192.168.33.138:49357   171.107.140.92:37863   ESTABLISHED     7044
  TCP    192.168.33.138:49358   123.172.144.202:61441  ESTABLISHED     7044
  TCP    192.168.33.138:49359   58.59.215.30:21247     ESTABLISHED     7044
  TCP    192.168.33.138:49361   222.169.222.194:32378  SYN_SENT        7044
  TCP    192.168.33.138:49412   4.145.79.81:443        ESTABLISHED     6784
  TCP    192.168.33.138:49763   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:50224   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:50397   49.7.47.44:443         ESTABLISHED     7044
  TCP    192.168.33.138:50897   157.122.221.202:443    ESTABLISHED     7044
  TCP    192.168.33.138:51155   183.47.122.37:443      ESTABLISHED     7044
  TCP    192.168.33.138:51202   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:51263   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51315   14.152.94.114:443      ESTABLISHED     7044
  TCP    192.168.33.138:51999   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:54707   61.153.154.124:443     ESTABLISHED     7044
  TCP    192.168.33.138:54741   115.227.155.247:16666  ESTABLISHED     7044
  TCP    192.168.33.138:55822   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:55823   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:56023   61.153.154.124:443     ESTABLISHED     7044
  TCP    192.168.33.138:57526   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:59945   122.228.99.160:443     ESTABLISHED     7044
  TCP    192.168.33.138:59975   121.228.176.143:443    ESTABLISHED     7044
  TCP    192.168.33.138:60003   123.172.144.202:61441  TIME_WAIT       0
  TCP    192.168.33.138:60012   220.182.9.86:56739     TIME_WAIT       0
  TCP    192.168.33.138:61762   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:62255   111.124.200.84:443     ESTABLISHED     7044
  TCP    192.168.33.138:63003   110.167.201.246:13598  TIME_WAIT       0
  TCP    192.168.33.138:63007   59.47.52.210:42806     TIME_WAIT       0
  TCP    192.168.33.138:63010   113.12.44.208:49731    TIME_WAIT       0
  TCP    192.168.33.138:63012   61.184.21.163:45357    TIME_WAIT       0
  TCP    192.168.33.138:63014   182.200.199.207:36032  TIME_WAIT       0
  TCP    192.168.33.138:63016   114.235.16.99:31242    TIME_WAIT       0
  TCP    192.168.33.138:63019   219.150.235.166:23472  TIME_WAIT       0
  TCP    192.168.33.138:63021   222.216.37.124:57725   TIME_WAIT       0
  TCP    192.168.33.138:63025   183.7.149.135:59661    TIME_WAIT       0
  TCP    192.168.33.138:63030   222.168.231.50:45599   TIME_WAIT       0
  TCP    192.168.33.138:63033   183.47.30.163:3234     TIME_WAIT       0
  TCP    192.168.33.138:63037   125.75.126.222:59642   TIME_WAIT       0
  TCP    192.168.33.138:63038   61.165.100.235:36593   TIME_WAIT       0
  TCP    192.168.33.138:63057   117.22.168.144:1198    TIME_WAIT       0
  TCP    192.168.33.138:63061   121.204.90.19:56769    TIME_WAIT       0
  TCP    192.168.33.138:63062   119.145.208.243:3309   TIME_WAIT       0
  TCP    192.168.33.138:63074   119.41.137.23:55603    TIME_WAIT       0
  TCP    192.168.33.138:63075   124.114.73.51:22098    TIME_WAIT       0
  TCP    192.168.33.138:63098   112.41.9.184:11508     TIME_WAIT       0
  TCP    192.168.33.138:63107   222.180.243.50:47663   TIME_WAIT       0
  TCP    192.168.33.138:63115   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63128   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63129   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63131   220.172.174.156:10771  TIME_WAIT       0
  TCP    192.168.33.138:63134   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63135   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63136   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63137   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63139   110.167.201.246:13598  TIME_WAIT       0
  TCP    192.168.33.138:63141   122.228.0.64:443       TIME_WAIT       0
  TCP    192.168.33.138:63142   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63143   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:63145   59.47.52.210:42806     TIME_WAIT       0
