
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.33.138:51912   113.12.44.208:49731    TIME_WAIT       0
  TCP    192.168.33.138:51913   112.41.30.103:14616    TIME_WAIT       0
  TCP    192.168.33.138:51916   175.31.15.20:24327     TIME_WAIT       0
  TCP    192.168.33.138:51924   113.12.44.208:49731    TIME_WAIT       0
  TCP    192.168.33.138:51927   222.180.243.50:47663   ESTABLISHED     7044
  TCP    192.168.33.138:51928   61.184.21.163:45357    ESTABLISHED     7044
  TCP    192.168.33.138:51937   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51939   116.253.246.53:19390   ESTABLISHED     7044
  TCP    192.168.33.138:51941   122.228.195.23:443     ESTABLISHED     7044
  TCP    192.168.33.138:51943   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51949   175.31.15.20:24327     ESTABLISHED     7044
  TCP    192.168.33.138:51950   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51952   117.63.251.248:57809   ESTABLISHED     7044
  TCP    192.168.33.138:51954   123.151.207.13:32012   ESTABLISHED     7044
  TCP    192.168.33.138:51955   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51957   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51961   112.41.30.103:14616    TIME_WAIT       0
  TCP    192.168.33.138:51965   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51966   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51968   59.47.52.210:42806     ESTABLISHED     7044
  TCP    192.168.33.138:51970   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51973   115.227.155.247:16666  ESTABLISHED     7044
  TCP    192.168.33.138:51976   113.12.44.208:49731    FIN_WAIT_1      7044
  TCP    192.168.33.138:51980   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:51982   222.209.90.217:40731   ESTABLISHED     7044
  TCP    192.168.33.138:51984   220.168.156.85:51467   ESTABLISHED     7044
  TCP    192.168.33.138:51990   115.238.219.101:443    ESTABLISHED     7044
  TCP    192.168.33.138:51992   222.169.222.194:32378  ESTABLISHED     7044
  TCP    192.168.33.138:51994   180.141.240.85:18184   ESTABLISHED     7044
  TCP    192.168.33.138:51995   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:51997   119.41.18.63:42982     ESTABLISHED     7044
  TCP    192.168.33.138:51999   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:52002   113.12.44.208:49731    ESTABLISHED     7044
  TCP    192.168.33.138:52003   112.41.41.211:5092     ESTABLISHED     7044
  TCP    192.168.33.138:52005   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:52008   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:52011   61.128.27.134:18600    ESTABLISHED     7044
  TCP    192.168.33.138:52026   49.86.8.29:44361       ESTABLISHED     7044
  TCP    192.168.33.138:52028   61.165.100.235:36593   ESTABLISHED     7044
  TCP    192.168.33.138:52031   180.140.118.68:38045   TIME_WAIT       0
  TCP    192.168.33.138:52032   113.90.157.134:42502   ESTABLISHED     7044
  TCP    192.168.33.138:52034   223.198.127.141:32750  ESTABLISHED     7044
  TCP    192.168.33.138:52035   113.81.121.237:34792   TIME_WAIT       0
  TCP    192.168.33.138:52036   119.125.8.95:51843     TIME_WAIT       0
  TCP    192.168.33.138:52037   183.7.149.135:59661    ESTABLISHED     7044
  TCP    192.168.33.138:52039   60.177.223.2:24756     TIME_WAIT       0
  TCP    192.168.33.138:52040   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:52045   123.172.82.118:38178   ESTABLISHED     7044
  TCP    192.168.33.138:52046   222.168.231.50:45599   ESTABLISHED     7044
  TCP    192.168.33.138:52049   113.140.81.214:40577   ESTABLISHED     7044
  TCP    192.168.33.138:52050   125.75.126.222:59642   ESTABLISHED     7044
  TCP    192.168.33.138:52053   117.22.168.144:1198    ESTABLISHED     7044
  TCP    192.168.33.138:52054   124.114.73.51:22098    ESTABLISHED     7044
  TCP    192.168.33.138:54482   123.172.144.202:61441  TIME_WAIT       0
  TCP    192.168.33.138:54707   61.153.154.124:443     ESTABLISHED     7044
  TCP    192.168.33.138:54741   115.227.155.247:16666  ESTABLISHED     7044
  TCP    192.168.33.138:55999   110.167.201.246:13598  TIME_WAIT       0
  TCP    192.168.33.138:56001   114.235.16.99:31242    TIME_WAIT       0
  TCP    192.168.33.138:56003   171.108.189.49:40969   TIME_WAIT       0
  TCP    192.168.33.138:56006   222.216.37.124:57725   TIME_WAIT       0
  TCP    192.168.33.138:56008   219.150.235.166:23472  TIME_WAIT       0
  TCP    192.168.33.138:56010   59.47.52.210:42806     TIME_WAIT       0
  TCP    192.168.33.138:56023   61.153.154.124:443     ESTABLISHED     7044
  TCP    192.168.33.138:56181   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:58669   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:61762   113.96.22.6:443        ESTABLISHED     7044
  TCP    192.168.33.138:62255   111.124.200.84:443     ESTABLISHED     7044
  TCP    192.168.142.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.154.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       2164
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       8780
  TCP    [::]:13688             [::]:0                 LISTENING       6572
  TCP    [::]:49664             [::]:0                 LISTENING       2028
  TCP    [::]:49665             [::]:0                 LISTENING       1928
  TCP    [::]:49666             [::]:0                 LISTENING       2704
  TCP    [::]:49667             [::]:0                 LISTENING       4424
  TCP    [::]:49669             [::]:0                 LISTENING       6204
  TCP    [::]:49670             [::]:0                 LISTENING       2000
  TCP    [::1]:13688            [::1]:49683            ESTABLISHED     6572
  TCP    [::1]:13688            [::1]:49685            ESTABLISHED     6572
  TCP    [::1]:13688            [::1]:49686            ESTABLISHED     6572
  TCP    [::1]:49683            [::1]:13688            ESTABLISHED     26896
  TCP    [::1]:49685            [::1]:13688            ESTABLISHED     15956
  TCP    [::1]:49686            [::1]:13688            ESTABLISHED     27372
  UDP    0.0.0.0:53             *:*                                    3432
